Time,Speed,Location,County,State,Lat,Lon,Comments
1700,UNK,5 E Farragut,Knox,TN,35.87,-84.1,Tree down blocking lanes on Westland Drive and downed powerlines nearby the location as well. (MRX)
1710,UNK,2 WSW Lake Forest,Knox,TN,35.92,-83.9,Large tree limb fell on a semi and possibly another vehicle near intersection of W Martin Mill Pike and Brown Road. (MRX)
1710,UNK,1 SW Bearden,Knox,TN,35.92,-84.02,A few trees and power poles down in West Knoxville. (MRX)
1740,UNK,3 S Halls,Knox,TN,36.04,-83.93,Road blocked due to a tree down. (MRX)
1745,UNK,5 NW New Market,Grainger,TN,36.15,-83.61,Several trees down. (MRX)
1851,UNK,4 SSE Moores Mill,Madison,AL,34.8,-86.49,A very large tree limb (about a foot diameter) was knocked down onto the road near the intersection of Homer Nance and Clearvue Roads. (HUN)
2025,UNK,4 WSW Fairview,Cullman,AL,34.22,-86.74,EMA from Cullman County reported an open hay barn that was blown down. (HUN)
2115,UNK,2 SW Baldwin,Habersham,GA,34.47,-83.57,Corrected for time. 911 Call Center reported a tree down in the town of Alto. Time estimated from radar. (GSP)
2125,UNK,Demorest,Habersham,GA,34.57,-83.55,Corrected for time. 911 Call Center reported a tree down in the town of Demorest. Time estimated from radar. (GSP)
2126,UNK,2 SW Baldwin,Habersham,GA,34.47,-83.57,911 Call Center reported a tree down in the town of Alto. Time estimated from radar. (GSP)
2130,UNK,Demorest,Habersham,GA,34.57,-83.55,911 Call Center reported a tree down in the town of Demorest. Time estimated from radar. (GSP)
2140,65,5 NE Hovey,Pecos,TX,30.65,-103.27,(MAF)
2141,UNK,7 N Pep,Lamb,TX,33.92,-102.58,Bent power pole leaning at least 30 degrees off center. (LUB)
2255,UNK,6 ENE Tickfaw,Tangipahoa,LA,30.61,-90.39,A picture on social media showed a power pole downed by thunderstorm winds east of Tickfaw. (LIX)
2310,UNK,4 SSE Robert,Tangipahoa,LA,30.45,-90.31,A picture on social media showed a large tree limb downed by thunderstorm winds in Bedico Trace Subdivision. (LIX)
0016,UNK,4 WSW Tiger,Rabun,GA,34.82,-83.5,Corrects description of previous tstm wnd dmg report from 4 WSW Tiger. Social media report of trees down in Rabun County. Time and location estimated via radar. (GSP)
0043,67,2 WSW Tatum,Lea,NM,33.24,-103.35,Mesonet station 51 2SW Tatum NM. (MAF)
0044,UNK,6 N Lake Vesuvius,Lawrence,OH,38.71,-82.65,A few large oak trees were uprooted and laying roughly SW to NE along Branch Hollow. The metal roof of an outbuilding was removed. Damage was consistent with straight l (RLX)
0044,UNK,6 NNW Lake Vesuvius,Lawrence,OH,38.71,-82.66,Trees knocked over and a roof torn off. This damage will be investigated for the possibility of a tornado. (RLX)
0154,UNK,1 SSW Mountain City,Rabun,GA,34.9,-83.39,Tree down on US 441 North. (GSP)
0230,UNK,1 WSW Birdie,Spalding,GA,33.31,-84.38,Tree down near the intersection of Fayettville Rd and Vaughn Rd. (FFC)
0235,UNK,2 W Highland Mills,Spalding,GA,33.28,-84.32,Tree down near the intersection of W McIntosh Rd and Westmoreland Rd. (FFC)
0240,UNK,1 S Sunny Side,Spalding,GA,33.33,-84.29,Mobile home damaged and a powerline down in Timber Creek Mobile Home Park. (FFC)
0240,UNK,3 ENE Lakemont,Rabun,GA,34.81,-83.37,Tree and power lines down on East Wolf Creek Rd. Time estimated from radar. (GSP)
0257,64,6 S Anton,Hockley,TX,33.72,-102.16,West Texas Mesonet Report. (LUB)
